accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.25878906,-0.9446411,0.2423706,-0.078125,-1.328125,-0.234375,Sitting Normal
-0.25610352,-0.9434204,0.24432373,0.375,-0.65625,0.140625,Sitting Normal
-0.2602539,-0.9495239,0.24163818,-0.078125,-1.03125,0.328125,Sitting Normal
-0.2553711,-0.9434204,0.24407959,-0.125,-1.03125,0.203125,Sitting Normal
-0.26586914,-0.940979,0.24212646,-0.015625,-1.078125,0.15625,Sitting Normal
-0.2541504,-0.93634033,0.24676514,-0.703125,-1.484375,0.125,Sitting Normal
-0.26367188,-0.9463501,0.24041748,-0.328125,-0.65625,0.109375,Sitting Normal
-0.25732422,-0.93951416,0.2579956,1.28125,-0.75,-0.15625,Sitting Normal
-0.26220703,-0.9546509,0.24139404,0.65625,-1.046875,0.515625,Sitting Normal
-0.25854492,-0.9385376,0.23138428,-1.84375,-1.265625,-0.640625,Sitting Normal
-0.26904297,-0.9348755,0.2538452,1.03125,-1.375,-0.328125,Sitting Normal
-0.26757812,-0.95928955,0.246521,0.734375,-0.53125,0.53125,Sitting Normal
-0.25683594,-0.9402466,0.23431396,0.21875,-1.015625,-0.140625,Sitting Normal
-0.2602539,-0.9360962,0.23797607,1.34375,0.15625,0.28125,Sitting Normal
-0.26782227,-0.93707275,0.2489624,1.046875,-0.515625,0.265625,Sitting Normal
-0.2644043,-0.9524536,0.24066162,0.140625,-0.609375,0.03125,Sitting Normal
-0.25854492,-0.9356079,0.23187256,0.40625,-0.875,-0.046875,Sitting Normal
-0.26000977,-0.94122314,0.24359131,0.90625,-0.4375,0.21875,Sitting Normal
-0.26464844,-0.9458618,0.23309326,0.328125,-0.328125,0.453125,Sitting Normal
-0.26220703,-0.94000244,0.23480225,0.015625,-0.734375,0.015625,Sitting Normal
-0.2607422,-0.9421997,0.24188232,0.40625,-0.375,0.109375,Sitting Normal
-0.2614746,-0.94659424,0.23602295,-0.09375,-0.65625,0.328125,Sitting Normal
-0.26293945,-0.944397,0.23773193,0.46875,-0.234375,0.28125,Sitting Normal
-0.26098633,-0.9421997,0.23773193,0.375,-0.078125,0.28125,Sitting Normal
-0.2644043,-0.9451294,0.23553467,0.140625,-0.359375,0.265625,Sitting Normal
-0.26416016,-0.94244385,0.24139404,0.078125,-0.421875,0.015625,Sitting Normal
-0.26245117,-0.9480591,0.23675537,0.34375,-0.375,0.1875,Sitting Normal
-0.2590332,-0.94195557,0.23577881,0.359375,-0.421875,0.25,Sitting Normal
-0.26782227,-0.94073486,0.23773193,0.109375,-0.390625,0.125,Sitting Normal
-0.26757812,-0.9458618,0.23016357,-0.34375,-0.421875,0.15625,Sitting Normal
-0.25585938,-0.9307251,0.24432373,1.03125,-0.40625,0.0,Sitting Normal
-0.25585938,-0.95562744,0.2399292,0.78125,-0.6875,0.859375,Sitting Normal
-0.25854492,-0.9373169,0.2243042,-1.53125,-0.375,-0.171875,Sitting Normal
-0.26586914,-0.9417114,0.24017334,1.46875,-1.078125,0.171875,Sitting Normal
-0.26171875,-0.9561157,0.23651123,0.75,0.421875,0.9375,Sitting Normal
-0.25390625,-0.9373169,0.23162842,-0.796875,-1.234375,-0.40625,Sitting Normal
-0.27001953,-0.93951416,0.23822021,0.140625,-0.109375,0.15625,Sitting Normal
-0.25878906,-0.9338989,0.24334717,0.53125,-0.46875,0.53125,Sitting Normal
-0.25830078,-0.9512329,0.23626709,0.4375,-0.578125,0.234375,Sitting Normal
-0.2524414,-0.93756104,0.23382568,0.609375,-0.21875,0.015625,Sitting Normal
-0.2631836,-0.944397,0.23406982,0.46875,-0.21875,0.15625,Sitting Normal
-0.2578125,-0.9517212,0.22869873,0.15625,-0.53125,0.296875,Sitting Normal
-0.26293945,-0.9397583,0.23553467,-0.09375,-0.734375,-0.078125,Sitting Normal
-0.2578125,-0.9402466,0.23968506,0.625,-0.125,0.3125,Sitting Normal
-0.25952148,-0.9446411,0.22698975,0.25,-0.65625,0.34375,Sitting Normal
-0.25854492,-0.9468384,0.22723389,0.328125,-0.40625,0.203125,Sitting Normal
-0.25952148,-0.94366455,0.23382568,0.59375,-0.390625,0.21875,Sitting Normal
-0.2614746,-0.94122314,0.23529053,0.28125,-0.46875,0.21875,Sitting Normal
-0.26000977,-0.9421997,0.23187256,0.203125,-0.53125,0.140625,Sitting Normal
-0.26245117,-0.9458618,0.23504639,0.234375,-0.546875,0.015625,Sitting Normal
-0.25976562,-0.9434204,0.23431396,0.203125,-0.375,0.140625,Sitting Normal
-0.25927734,-0.9483032,0.22991943,0.234375,-0.5,0.265625,Sitting Normal
-0.26660156,-0.94537354,0.2267456,0.25,-0.21875,0.15625,Sitting Normal
-0.25756836,-0.94244385,0.23382568,0.734375,-0.703125,0.03125,Sitting Normal
-0.25634766,-0.94610596,0.2267456,-0.484375,-0.046875,0.109375,Sitting Normal
-0.25976562,-0.9505005,0.24139404,1.125,-0.640625,0.34375,Sitting Normal
-0.2619629,-0.9536743,0.22088623,-1.046875,-0.484375,0.3125,Sitting Normal
-0.2619629,-0.9365845,0.22772217,-0.515625,-0.640625,-0.578125,Sitting Normal
-0.26293945,-0.9439087,0.23895264,1.265625,-0.421875,0.5625,Sitting Normal
-0.25463867,-0.9522095,0.2321167,-0.9375,-0.625,0.171875,Sitting Normal
-0.26513672,-0.94073486,0.23358154,-0.171875,-0.796875,-0.296875,Sitting Normal
-0.26049805,-0.94781494,0.2321167,0.265625,0.296875,0.390625,Sitting Normal
-0.2541504,-0.9553833,0.23016357,0.828125,-1.046875,0.234375,Sitting Normal
-0.25683594,-0.9495239,0.22772217,0.21875,0.125,0.421875,Sitting Normal
-0.26489258,-0.9463501,0.23016357,0.484375,-0.578125,-0.015625,Sitting Normal
-0.25952148,-0.9429321,0.23406982,0.734375,-0.453125,0.359375,Sitting Normal
-0.26098633,-0.94000244,0.22845459,-0.453125,-0.609375,0.171875,Sitting Normal
-0.2644043,-0.942688,0.22894287,0.15625,-0.796875,0.15625,Sitting Normal
-0.26757812,-0.9456177,0.23187256,0.109375,-0.375,0.203125,Sitting Normal
-0.26245117,-0.9470825,0.22869873,-0.328125,-0.640625,0.0,Sitting Normal
-0.25976562,-0.9446411,0.23382568,0.046875,-0.125,0.125,Sitting Normal
-0.26367188,-0.9495239,0.2345581,-0.234375,-0.5625,0.09375,Sitting Normal
-0.2692871,-0.9463501,0.23138428,-0.84375,-0.8125,-0.09375,Sitting Normal
-0.26831055,-0.94122314,0.23187256,-0.703125,-0.6875,-0.125,Sitting Normal
-0.2529297,-0.9446411,0.23577881,0.015625,-0.421875,0.40625,Sitting Normal
-0.2565918,-0.94854736,0.24041748,0.375,-0.359375,0.484375,Sitting Normal
-0.27294922,-0.94000244,0.2345581,0.625,-0.421875,0.28125,Sitting Normal
-0.26538086,-0.93951416,0.23822021,0.03125,-0.765625,0.328125,Sitting Normal
-0.26000977,-0.94317627,0.22454834,-0.71875,-0.546875,0.15625,Sitting Normal
-0.25195312,-0.93951416,0.24139404,0.875,-0.265625,0.265625,Sitting Normal
-0.26464844,-0.94781494,0.23553467,0.515625,-0.53125,0.84375,Sitting Normal
-0.26538086,-0.9331665,0.22088623,-1.40625,-0.375,-0.375,Sitting Normal
-0.26538086,-0.9468384,0.24261475,0.4375,-0.921875,0.25,Sitting Normal
-0.26367188,-0.9524536,0.23968506,-0.421875,-0.421875,0.28125,Sitting Normal
-0.2565918,-0.9385376,0.22650146,-0.578125,-0.59375,-0.328125,Sitting Normal
-0.25976562,-0.9429321,0.24261475,0.59375,0.390625,0.484375,Sitting Normal
-0.26293945,-0.94244385,0.24603271,0.265625,-0.3125,0.328125,Sitting Normal
-0.2668457,-0.94781494,0.23651123,-0.140625,-0.59375,0.359375,Sitting Normal
-0.2553711,-0.9397583,0.23724365,0.109375,-0.203125,0.125,Sitting Normal
-0.2578125,-0.94488525,0.24041748,-0.171875,-0.296875,0.21875,Sitting Normal
-0.2626953,-0.9429321,0.23919678,-0.875,-0.671875,0.28125,Sitting Normal
-0.2668457,-0.94366455,0.23309326,-0.640625,-1.015625,0.0625,Sitting Normal
-0.26611328,-0.9390259,0.24334717,-0.296875,-0.40625,0.125,Sitting Normal
-0.2602539,-0.9402466,0.23919678,-0.203125,-0.671875,0.078125,Sitting Normal
-0.26586914,-0.94366455,0.24090576,0.21875,-0.125,0.453125,Sitting Normal
-0.25878906,-0.9468384,0.24285889,-0.1875,-0.265625,0.15625,Sitting Normal
-0.26489258,-0.9456177,0.24554443,-0.390625,-0.9375,-0.09375,Sitting Normal
-0.2602539,-0.9500122,0.24188232,-0.4375,-0.28125,0.125,Sitting Normal
-0.265625,-0.93951416,0.24554443,-0.90625,-1.046875,-0.125,Sitting Normal
-0.26416016,-0.944397,0.24481201,-0.34375,-1.265625,-0.203125,Sitting Normal
-0.25854492,-0.93634033,0.24066162,-0.234375,-0.484375,0.125,Sitting Normal
-0.26123047,-0.9429321,0.24505615,0.3125,-0.421875,0.171875,Sitting Normal
-0.26611328,-0.9439087,0.2374878,-0.25,-0.734375,0.046875,Sitting Normal
-0.2680664,-0.9468384,0.24285889,-0.390625,-1.03125,0.046875,Sitting Normal
-0.26245117,-0.9397583,0.24725342,-0.4375,-0.296875,0.0,Sitting Normal
-0.2685547,-0.9414673,0.2501831,0.859375,-0.59375,0.390625,Sitting Normal
-0.2705078,-0.94366455,0.23797607,-1.21875,0.140625,0.125,Sitting Normal
-0.2722168,-0.94073486,0.24603271,-0.46875,-0.921875,-0.125,Sitting Normal
-0.26708984,-0.94903564,0.25726318,-0.34375,-1.375,-0.078125,Sitting Normal
-0.26391602,-0.9365845,0.24334717,-1.0625,-0.59375,-0.109375,Sitting Normal
-0.2692871,-0.9380493,0.24700928,0.078125,-0.046875,0.359375,Sitting Normal
-0.26635742,-0.9434204,0.26361084,0.203125,-0.609375,0.390625,Sitting Normal
-0.26342773,-0.9429321,0.24920654,0.5625,-1.078125,0.171875,Sitting Normal
-0.2578125,-0.94366455,0.24285889,0.03125,-0.796875,0.078125,Sitting Normal
-0.26635742,-0.9451294,0.24627686,-0.3125,-0.03125,0.21875,Sitting Normal
-0.2758789,-0.9483032,0.25042725,0.578125,-0.46875,0.46875,Sitting Normal
-0.2607422,-0.9338989,0.24383545,0.203125,-0.796875,0.0625,Sitting Normal
-0.2578125,-0.93878174,0.25042725,0.28125,-0.625,0.0,Sitting Normal
-0.26586914,-0.94415283,0.24749756,0.296875,-0.734375,0.09375,Sitting Normal
-0.27197266,-0.95684814,0.21307373,1.515625,-1.40625,0.25,Sitting Normal
-0.26513672,-0.9434204,0.23968506,0.625,-0.5,0.15625,Sitting Normal
-0.25927734,-0.9402466,0.24359131,0.875,-0.6875,0.25,Sitting Normal
-0.2631836,-0.94122314,0.24041748,0.296875,-0.703125,0.28125,Sitting Normal
-0.2626953,-0.9434204,0.23284912,0.390625,-0.546875,0.1875,Sitting Normal
